Name,Year,Genre,Publisher
Wii Sports,2006,Sports,Nintendo
Super Mario Bros.,1985,Platform,Nintendo
Mario Kart Wii,2008,Racing,Nintendo
Wii Sports Resort,2009,Sports,Nintendo
Pokemon Red/Pokemon Blue,1996,Role-Playing,Nintendo
Tetris,1989,Puzzle,Nintendo
New Super Mario Bros.,2006,Platform,Nintendo
Wii Play,2006,Misc,Nintendo
Duck Hunt,1984,Shooter,Nintendo
Nintendogs,2005,Simulation,Nintendo
Mario Kart DS,2005,Racing,Nintendo
Pokemon Gold/Pokemon Silver,1999,Role-Playing,Nintendo
Wii Fit,2007,Sports,Nintendo
Wii Fit Plus,2009,Sports,Nintendo
Kinect Adventures!,2010,Misc,Microsoft Game Studios
Grand Theft Auto V,2013,Action,Take-Two Interactive
Grand Theft Auto: San Andreas,2004,Action,Take-Two Interactive
Super Mario World,1990,Platform,Nintendo
Brain Age: Train Your Brain in Minutes a Day,2005,Misc,Nintendo
Pokemon Diamond/Pokemon Pearl,2006,Role-Playing,Nintendo
Super Mario Land,1989,Platform,Nintendo
Super Mario Bros. 3,1988,Platform,Nintendo
Grand Theft Auto: Vice City,2002,Action,Take-Two Interactive
Pokemon Ruby/Pokemon Sapphire,2002,Role-Playing,Nintendo
Pokemon Black/Pokemon White,2010,Role-Playing,Nintendo
Brain Age 2: More Training in Minutes a Day,2005,Puzzle,Nintendo
Gran Turismo 3: A-Spec,2001,Racing,Sony Computer Entertainment
Call of Duty: Modern Warfare 3,2011,Shooter,Activision
Pokemon Yellow: Special Pikachu Edition,1998,Role-Playing,Nintendo
Call of Duty: Black Ops,2010,Shooter,Activision
Pokemon X/Pokemon Y,2013,Role-Playing,Nintendo
Call of Duty: Black Ops 3,2015,Shooter,Activision
Call of Duty: Black Ops II,2012,Shooter,Activision
Call of Duty: Modern Warfare 2,2009,Shooter,Activision
Grand Theft Auto III,2001,Action,Take-Two Interactive
Super Smash Bros. Brawl,2008,Fighting,Nintendo
Animal Crossing: Wild World,2005,Simulation,Nintendo
Mario Kart 7,2011,Racing,Nintendo
Halo 3,2007,Shooter,Microsoft Game Studios
Pokemon HeartGold/Pokemon SoulSilver,2009,Action,Nintendo
Super Mario 64,1996,Platform,Nintendo
Gran Turismo 4,2004,Racing,Sony Computer Entertainment
Super Mario Galaxy,2007,Platform,Nintendo
Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014,Role-Playing,Nintendo
Super Mario Land 2: 6 Golden Coins,1992,Adventure,Nintendo
Grand Theft Auto IV,2008,Action,Take-Two Interactive
Gran Turismo,1997,Racing,Sony Computer Entertainment
Super Mario 3D Land,2011,Platform,Nintendo
Gran Turismo 5,2010,Racing,Sony Computer Entertainment
Super Mario All-Stars,1993,Platform,Nintendo
Pokemon FireRed/Pokemon LeafGreen,2004,Role-Playing,Nintendo
Just Dance 3,2011,Misc,Ubisoft
Call of Duty: Ghosts,2013,Shooter,Activision
Halo: Reach,2010,Shooter,Microsoft Game Studios
Mario Kart 64,1996,Racing,Nintendo
New Super Mario Bros. 2,2012,Platform,Nintendo
Halo 4,2012,Shooter,Microsoft Game Studios
Final Fantasy VII,1997,Role-Playing,Sony Computer Entertainment
Just Dance 2,2010,Misc,Ubisoft
Gran Turismo 2,1999,Racing,Sony Computer Entertainment
Call of Duty 4: Modern Warfare,2007,Shooter,Activision
Donkey Kong Country,1994,Platform,Nintendo
Minecraft,2013,Misc,Microsoft Game Studios
Animal Crossing: New Leaf,2012,Simulation,Nintendo
Mario Party DS,2007,Misc,Nintendo
The Elder Scrolls V: Skyrim,2011,Role-Playing,Bethesda Softworks
Super Mario Kart,1992,Racing,Nintendo
FIFA 16,2015,Sports,Electronic Arts
Wii Party,2010,Misc,Nintendo
Halo 2,2004,Shooter,Microsoft Game Studios
Mario Party 8,2007,Misc,Nintendo
Pokemon Black 2/Pokemon White 2,2012,Role-Playing,Nintendo
FIFA Soccer 13,2012,Action,Electronic Arts
The Sims 3,2009,Simulation,Electronic Arts
GoldenEye 007,1997,Shooter,Nintendo
Mario & Sonic at the Olympic Games,2007,Sports,Sega
Final Fantasy X,2001,Role-Playing,Sony Computer Entertainment
Final Fantasy VIII,1999,Role-Playing,SquareSoft
Pokemon Platinum Version,2008,Role-Playing,Nintendo
Pac-Man,1982,Puzzle,Atari
Grand Theft Auto: Liberty City Stories,2005,Action,Take-Two Interactive
Super Mario Galaxy 2,2010,Platform,Nintendo
Star Wars Battlefront (2015),2015,Shooter,Electronic Arts
Call of Duty: Advanced Warfare,2014,Shooter,Activision
The Legend of Zelda: Ocarina of Time,1998,Action,Nintendo
Crash Bandicoot 2: Cortex Strikes Back,1997,Platform,Sony Computer Entertainment
Super Mario Bros. 2,1988,Platform,Nintendo
Super Smash Bros. for Wii U and 3DS,2014,Fighting,Nintendo
Call of Duty: World at War,2008,Shooter,Activision
Battlefield 3,2011,Shooter,Electronic Arts
The Legend of Zelda: Twilight Princess,2006,Action,Nintendo
Just Dance,2009,Misc,Ubisoft
Need for Speed Underground,2003,Racing,Electronic Arts
Tekken 3,1998,Fighting,Sony Computer Entertainment
Crash Bandicoot 3: Warped,1998,Platform,Sony Computer Entertainment
Super Smash Bros. Melee,2001,Fighting,Nintendo
Mario Kart 8,2014,Racing,Nintendo
Fallout 4,2015,Role-Playing,Bethesda Softworks
Mario Kart: Double Dash!!,2003,Racing,Nintendo
Just Dance 4,2012,Misc,Ubisoft
FIFA 14,2013,Sports,Electronic Arts
Need for Speed Underground 2,2004,Racing,Electronic Arts
Medal of Honor: Frontline,2002,Shooter,Electronic Arts
Uncharted 3: Drake's Deception,2011,Action,Sony Computer Entertainment
Crash Bandicoot,1996,Platform,Sony Computer Entertainment
Zumba Fitness,2010,Sports,505 Games
Gears of War 2,2008,Shooter,Microsoft Game Studios
Uncharted 2: Among Thieves,2009,Action,Sony Computer Entertainment
FIFA 12,2011,Sports,Electronic Arts
Big Brain Academy,2005,Misc,Nintendo
Red Dead Redemption,2010,Action,Take-Two Interactive
FIFA 15,2014,Sports,Electronic Arts
Donkey Kong Country Returns,2010,Platform,Nintendo
The Legend of Zelda,1986,Action,Nintendo
Assassin's Creed III,2012,Action,Ubisoft
Halo: Combat Evolved,2001,Shooter,Microsoft Game Studios
Pokemon Emerald Version,2004,Role-Playing,Nintendo
Kingdom Hearts,2002,Role-Playing,Sony Computer Entertainment
Pokemon Crystal Version,2000,Role-Playing,Nintendo
Halo 3: ODST,2009,Shooter,Microsoft Game Studios
Super Mario Sunshine,2002,Platform,Nintendo
Street Fighter II: The World Warrior,1992,Fighting,Capcom
World of Warcraft,2004,Role-Playing,Activision
Driver,1999,Action,GT Interactive
Kinect Sports,2010,Sports,Microsoft Game Studios
Gears of War 3,2011,Shooter,Microsoft Game Studios
Gears of War,2006,Shooter,Microsoft Game Studios
Metal Gear Solid 2: Sons of Liberty,2001,Action,Konami Digital Entertainment
Sonic the Hedgehog 2,1992,Platform,Sega
Metal Gear Solid 4: Guns of the Patriots,2008,Action,Konami Digital Entertainment
Metal Gear Solid,1998,Action,Konami Digital Entertainment
The Last of Us,2013,Action,Sony Computer Entertainment Europe
Final Fantasy XII,2006,Role-Playing,Square Enix
LittleBigPlanet,2008,Platform,Sony Computer Entertainment
Dragon Quest IX: Sentinels of the Starry Skies,2009,Role-Playing,Nintendo
LEGO Star Wars: The Complete Saga,2007,Action,LucasArts
Resident Evil 2,1998,Action,Virgin Interactive
Tekken 2,1996,Fighting,Sony Computer Entertainment
Cooking Mama,2006,Simulation,505 Games
Destiny,2014,Shooter,Activision
Assassin's Creed II,2009,Action,Ubisoft
Super Smash Bros.,1999,Fighting,Nintendo
Assassin's Creed,2007,Adventure,Ubisoft
Batman: Arkham City,2011,Action,Warner Bros. Interactive Entertainment
Forza Motorsport 3,2009,Racing,Microsoft Game Studios
Monster Hunter Freedom Unite,2008,Role-Playing,Capcom
Super Mario Advance,2001,Platform,Nintendo
Mario Kart: Super Circuit,2001,Racing,Nintendo
Pokemon Stadium,1999,Strategy,Nintendo
Crash Bandicoot: The Wrath of Cortex,2001,Platform,Universal Interactive
Final Fantasy XIII,2009,Role-Playing,Square Enix
Dr. Mario,1989,Puzzle,Nintendo
Pokemon Pinball,1999,Misc,Nintendo
Final Fantasy IX,2000,Role-Playing,SquareSoft
Final Fantasy X-2,2003,Role-Playing,Electronic Arts
Donkey Kong 64,1999,Platform,Nintendo
Professor Layton and the Curious Village,2007,Puzzle,Nintendo
Tomb Raider II,1997,Action,Eidos Interactive
Madden NFL 2004,N/A,Sports,Electronic Arts
Dragon Quest VIII: Journey of the Cursed King,2004,Role-Playing,Square Enix
Diablo III,2012,Role-Playing,Activision
New Super Mario Bros. U,2012,Platform,Nintendo
Super Mario Land 3: Wario Land,1994,Platform,Nintendo
The Legend of Zelda: Phantom Hourglass,2007,Action,Nintendo
Donkey Kong Country 2: Diddy's Kong Quest,1995,Platform,Nintendo
Tomodachi Life,2013,Simulation,Nintendo
Medal of Honor: Rising Sun,2003,Shooter,Electronic Arts
Kirby's Dream Land,1992,Platform,Nintendo
Fable III,2010,Role-Playing,Microsoft Game Studios
Microsoft Flight Simulator,1996,Simulation,Microsoft Game Studios
Guitar Hero II,2006,Misc,RedOctane
Resident Evil 5,2009,Action,Capcom
Grand Theft Auto: Vice City Stories,2006,Action,Take-Two Interactive
FIFA Soccer 11,2010,Sports,Electronic Arts
Resident Evil,1996,Action,Virgin Interactive
Tony Hawk's Pro Skater,1999,Sports,Activision
Warzone 2100,1999,Strategy,Eidos Interactive
Spyro the Dragon,1998,Platform,Sony Computer Entertainment
Link's Crossbow Training,2007,Shooter,Nintendo
Guitar Hero III: Legends of Rock,2007,Misc,Activision
Fallout 3,2008,Role-Playing,Bethesda Softworks
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,2007,Role-Playing,Nintendo
Uncharted: Drake's Fortune,2007,Action,Sony Computer Entertainment
Madden NFL 06,2005,Sports,Electronic Arts
Diddy Kong Racing,1997,Racing,Nintendo
Monster Hunter Freedom 3,2010,Role-Playing,Capcom
God of War III,2010,Action,Sony Computer Entertainment
StarCraft II: Wings of Liberty,2010,Strategy,Activision
Crash Team Racing,1999,Racing,Sony Computer Entertainment
FIFA 17,2016,Sports,Electronic Arts
Driver 2,2000,Action,Atari
The Simpsons: Hit & Run,2003,Racing,Vivendi Games
Tony Hawk's Pro Skater 2,2000,Sports,Activision
Animal Crossing: City Folk,2008,Simulation,Nintendo
The Lord of the Rings: The Two Towers,2002,Action,Electronic Arts
Forza Motorsport 4,2011,Racing,Microsoft Game Studios
Tomb Raider,1996,Action,Eidos Interactive
The Legend of Zelda: A Link to the Past,1991,Action,Nintendo
The Legend of Zelda: The Wind Waker,2002,Action,Nintendo
